codmuni,departamento,municipio,year,irv
5001,Antioquia,Medellin,2010,0.17
5002,Antioquia,Abejorral,2010,0.27
5004,Antioquia,Abriaqui,2010,0.1
5021,Antioquia,Alejandria,2010,0.15
5030,Antioquia,Amaga,2010,0.09
5031,Antioquia,Amalfi,2010,0.39
5034,Antioquia,Andes,2010,0.18
5036,Antioquia,Angelopolis,2010,0.09
5038,Antioquia,Angostura,2010,0.27
5040,Antioquia,Anori,2010,0.82
5042,Antioquia,Santafe De Antioquia,2010,0.17
5044,Antioquia,Anza,2010,0.13
5045,Antioquia,Apartado,2010,0.37
5051,Antioquia,Arboletes,2010,0.22
5055,Antioquia,Argelia,2010,0.76
5059,Antioquia,Armenia,2010,0.11
5079,Antioquia,Barbosa,2010,0.19
5086,Antioquia,Belmira,2010,0.16
5088,Antioquia,Bello,2010,0.11
5091,Antioquia,Betania,2010,0.13
5093,Antioquia,Betulia,2010,0.19
5101,Antioquia,Ciudad Bolivar,2010,0.15
5107,Antioquia,Briceo,2010,0.49
5113,Antioquia,Buritica,2010,0.1
5120,Antioquia,Caceres,2010,0.67
5125,Antioquia,Caicedo,2010,0.23
5129,Antioquia,Caldas,2010,0.06
5134,Antioquia,Campamento,2010,0.46
5138,Antioquia,Caasgordas,2010,0.22
5142,Antioquia,Caracoli,2010,0.18
5145,Antioquia,Caramanta,2010,0.05
5147,Antioquia,Carepa,2010,0.28
5148,Antioquia,El Carmen De Viboral,2010,0.16
5150,Antioquia,Carolina,2010,0.13
5154,Antioquia,Caucasia,2010,0.31
5172,Antioquia,Chigorodo,2010,0.3
5190,Antioquia,Cisneros,2010,0.1
5197,Antioquia,Cocorna,2010,0.4
5206,Antioquia,Concepcion,2010,0.12
5209,Antioquia,Concordia,2010,0.13
5212,Antioquia,Copacabana,2010,0.06
5234,Antioquia,Dabeiba,2010,0.55
5237,Antioquia,Donmatias,2010,0.12
5240,Antioquia,Ebejico,2010,0.11
5250,Antioquia,El Bagre,2010,0.49
5264,Antioquia,Entrerrios,2010,0.04
5266,Antioquia,Envigado,2010,0.09
5282,Antioquia,Fredonia,2010,0.06
5284,Antioquia,Frontino,2010,0.29
5306,Antioquia,Giraldo,2010,0.11
5308,Antioquia,Girardota,2010,0.08
5310,Antioquia,Gomez Plata,2010,0.06
5313,Antioquia,Granada,2010,0.5
5315,Antioquia,Guadalupe,2010,0.1
5318,Antioquia,Guarne,2010,0.11
5321,Antioquia,Guatape,2010,0.11
5347,Antioquia,Heliconia,2010,0.09
