municipality,refined_name_key
Albania,albania
Algeciras,algeciras
Apartad•À_,apartad•À_
Barrancabermeja,barrancabermeja
Berlin,berlin
Bogot•À_ D.C.,bogot•À_ d.c.
Cachinay,cachipay
Caldono ,caldono
Cali,cali
Caucasia,caucasia
Chigorod•À_,chigorod•À_
Cimitarra,cimitarra
Curillo,curillo
El Paujil,el paujil
Florencia,florencia
Flori•À_n,flori•À_n
Fortul,fortul
Icononzo,icononzo
Jambal•À_,jambal•À_
La Dorada,la dorada
Medell•À_n,medell•À_n
Melgar,melgar
Mesetas,mesetas
Mutat•À_,mutat•À_
Neiva ,neiva
Otanche,otanche
Pitalito,pitalito
Planadas,planadas
Puerto As•À_s,puerto as•À_s
Puerto Berr•À_o,puerto berr•À_o
Puerto Nare,puerto nare
Puerto Rico,puerto rico
Puerto Tejada,puerto tejada
Puerto Triunfo,puerto triunfo
San Francisco,san francisco
San Jos_ del Fragua ,san jos_ del fragua
San Jos_ del Guaviare,san jos_ del guaviare
San Juan Bosco,san juan bosco
San Juan de Arama,san juan de arama
San Pedro de Urab•À_,san pedro de urab•À_
San Vicente de Chucuri,san vicente de chucuri
San Vicente del Cagu•À_n,san vicente del cagu•À_n
Santa Elena del Op•À_n,santa elena del op•À_n
Santander de Quilichao,santander de quilichao
Saravena,saravena
Surat•À_,surat•À_
Tierradentro,tierradentro
Turbo,turbo
Tutas•À_,tutaz•À_
Uribe,uribe
Valledupar,valledupar
V_lez,v_lez
Venecia,venecia
Yacop•À_,yacop•À_
Yurayac•À_,yurayac•À_
Aguachica,aguachica
Aguada,aguada
Algeciras,algeciras
Argelia,argelia
Barrancabermeja,barrancabermeja
Bel_n de los Andaqu•À_es,bel_n de los andaqu•À_es
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Cali,cali
Campamento,campamento
Caracol•À_,caracol•À_
Cartagena del Chair•À_,cartagena del chair•À_
Cartago,cartago
Caucasia,caucasia
Ceret_,ceret_
Cerromatoso,cerromatoso
Chivolo,chivolo
Chocont•À_,chocont•À_
Cimitarra,cimitarra
C•À_cuta,c•À_cuta
Curillo,curillo
El Doncello,el doncello
El Paujil,el paujil
Florencia,florencia
Flori•À_n ,flori•À_n
Gamarra,gamarra
Garz•À_n,garz•À_n
Guamo,guamo
Honda,honda
Ibague,ibague
Icononzo,icononzo
Itsmina,itsmina
La Argentina,la argentina
La Dorada,la dorada
Land•À_zuri,land•À_zuri
L•À_bano,l•À_bano
Maicao,maicao
Manizales,manizales
Mariquita,mariquita
Maticur•À_,maticur•À_
Medell•À_n,medell•À_n
Melgar,melgar
Mocoa,mocoa
Monter•À_a,monter•À_a
Mutat•À_,mutat•À_
Neiva,neiva
Pereira,pereira
Popay•À_n,popay•À_n
Puerto As•À_s,puerto as•À_s
Puerto Berr•À_o,puerto berr•À_o
Puerto Boyac•À_,puerto boyac•À_
Puerto Gait•À_n,puerto gait•À_n
Puerto Rico,puerto rico
Puerto Triunfo,puerto triunfo
Puerto Wilches,puerto wilches
Sabana de Torres,sabana de torres
Sabanagrande,sabanagrande
Saman•À_,saman•À_
San Francisco,san francisco
San Mart•À_n,san mart•À_n
San Vicente de Chucuri,san vicente de chucuri
San Vicente del Cagu•À_n,san vicente del cagu•À_n
Santa Elena del Op•À_n,santa elena del op•À_n
Segovia,segovia
Simacota,simacota
Solita,solita
Sons•À_n,sons•À_n
Sucre,sucre
Taraz•À_,taraz•À_
Torib•À_o,torib•À_o
T•À_querres,t•À_querres
Turbo,turbo
Valledupar,valledupar
Ventaquemada,ventaquemada
Yacop•À_,yacop•À_
Yumbo,yumbo
Zipaquir•À_,zipaquir•À_
Aguachica,aguachica
Apartad•À_,apartad•À_
Armenia,armenia
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bucaramanga,bucaramanga
Buenaventura,buenaventura
Cali,cali
Carcasi,carcasi
Cartagena,cartagena
Cartago,cartago
Chaparral,chaparral
Chigorod•À_,chigorod•À_
Cimitarra,cimitarra
El Bagre,el bagre
El Doncello,el doncello
Florencia,florencia
Fresno,fresno
Gir•À_n,gir•À_n
Ibague,ibague
Itag•À_•À_,itag•À_•À_
Jard•À_n,jard•À_n
La Victoria,la victoria
Land•À_zuri,land•À_zuri
L_rida ,l_rida
Maceo,maceo
Malambo,malambo
Manizales ,manizales
Medell•À_n,medell•À_n
Melgar,melgar
Mogotes,mogotes
Mutat•À_,mutat•À_
Pensilvania,pensilvania
Popay•À_n,popay•À_n
Puerto As•À_s,puerto as•À_s
Puerto Berr•À_o,puerto berr•À_o
Puerto Boyac•À_,puerto boyac•À_
Puerto Nare,puerto nare
