coddept,codmpio,codpoblado,department,municipio,refined_name_key
5,5001,5001000,ANTIOQUIA,MEDELLï¿_N,medellï¿_n
5,5002,5002000,ANTIOQUIA,ABEJORRAL,abejorral
5,5004,5004000,ANTIOQUIA,ABRIAQUï¿_,abriaquï¿_
5,5021,5021000,ANTIOQUIA,ALEJANDRï¿_A,alejandrï¿_a
5,5030,5030000,ANTIOQUIA,AMAGï¿_,amagï¿_
5,5031,5031000,ANTIOQUIA,AMALFI,amalfi
5,5034,5034000,ANTIOQUIA,ANDES,andes
5,5036,5036000,ANTIOQUIA,ANGELï¿_POLIS,angelï¿_polis
5,5038,5038000,ANTIOQUIA,ANGOSTURA,angostura
5,5040,5040000,ANTIOQUIA,ANORï¿_,anorï¿_
5,5042,5042000,ANTIOQUIA,SANTA Fï¿_ DE ANTIOQUIA,santa fï¿_ de antioquia
5,5044,5044000,ANTIOQUIA,ANZï¿_,anzï¿_
5,5045,5045000,ANTIOQUIA,APARTADï¿_,apartadï¿_
5,5051,5051000,ANTIOQUIA,ARBOLETES,arboletes
5,5055,5055000,ANTIOQUIA,ARGELIA,argelia
5,5059,5059000,ANTIOQUIA,ARMENIA,armenia
5,5079,5079000,ANTIOQUIA,BARBOSA,barbosa
5,5086,5086000,ANTIOQUIA,BELMIRA,belmira
5,5088,5088000,ANTIOQUIA,BELLO,bello
5,5091,5091000,ANTIOQUIA,BETANIA,betania
5,5093,5093000,ANTIOQUIA,BETULIA,betulia
5,5101,5101000,ANTIOQUIA,CIUDAD BOLï¿_VAR,ciudad bolï¿_var
5,5107,5107000,ANTIOQUIA,BRICEï¿_O,briceï¿_o
5,5113,5113000,ANTIOQUIA,BURITICï¿_,buriticï¿_
5,5120,5120000,ANTIOQUIA,Cï¿_CERES,cï¿_ceres
5,5125,5125000,ANTIOQUIA,CAICEDO,caicedo
5,5129,5129000,ANTIOQUIA,CALDAS,caldas
5,5134,5134000,ANTIOQUIA,CAMPAMENTO,campamento
5,5138,5138000,ANTIOQUIA,CAï¿_ASGORDAS,caï¿_asgordas
5,5142,5142000,ANTIOQUIA,CARACOLï¿_,caracolï¿_
5,5145,5145000,ANTIOQUIA,CARAMANTA,caramanta
5,5147,5147000,ANTIOQUIA,CAREPA,carepa
5,5148,5148000,ANTIOQUIA,EL CARMEN DE VIBORAL,carmen de viboral
5,5150,5150000,ANTIOQUIA,CAROLINA,carolina
5,5154,5154000,ANTIOQUIA,CAUCASIA,caucasia
5,5172,5172000,ANTIOQUIA,CHIGORODï¿_,chigorodï¿_
5,5190,5190000,ANTIOQUIA,CISNEROS,cisneros
5,5197,5197000,ANTIOQUIA,COCORNï¿_,cocornï¿_
5,5206,5206000,ANTIOQUIA,CONCEPCIï¿_N,concepciï¿_n
5,5209,5209000,ANTIOQUIA,CONCORDIA,concordia
5,5212,5212000,ANTIOQUIA,COPACABANA,copacabana
5,5234,5234000,ANTIOQUIA,DABEIBA,dabeiba
5,5237,5237000,ANTIOQUIA,DONMATï¿_AS,don matï¿_as
5,5240,5240000,ANTIOQUIA,EBï¿_JICO,ebejico
5,5250,5250000,ANTIOQUIA,EL BAGRE,el bagre
5,5264,5264000,ANTIOQUIA,ENTRERRï¿_OS,entrerrï¿_os
5,5266,5266000,ANTIOQUIA,ENVIGADO,envigado
5,5282,5282000,ANTIOQUIA,FREDONIA,fredonia
5,5284,5284000,ANTIOQUIA,FRONTINO,frontino
5,5306,5306000,ANTIOQUIA,GIRALDO,giraldo
5,5308,5308000,ANTIOQUIA,GIRARDOTA,girardota
5,5310,5310000,ANTIOQUIA,Gï¿_MEZ PLATA,gomez plata
5,5313,5313000,ANTIOQUIA,GRANADA,granada
5,5315,5315000,ANTIOQUIA,GUADALUPE,guadalupe
5,5318,5318000,ANTIOQUIA,GUARNE,guarne
5,5321,5321000,ANTIOQUIA,GUATAPï¿_,guatap_
5,5347,5347000,ANTIOQUIA,HELICONIA,heliconia
5,5353,5353000,ANTIOQUIA,HISPANIA,hispania
5,5360,5360000,ANTIOQUIA,ITAGÊê,itagÊê
5,5361,5361000,ANTIOQUIA,ITUANGO,ituango
5,5364,5364000,ANTIOQUIA,JARDï¿_N,jardï¿_n
5,5368,5368000,ANTIOQUIA,JERICï¿_,jericï¿_
5,5376,5376000,ANTIOQUIA,LA CEJA,la ceja
5,5380,5380000,ANTIOQUIA,LA ESTRELLA,la estrella
5,5390,5390000,ANTIOQUIA,LA PINTADA,la pintada
5,5400,5400000,ANTIOQUIA,LA UNIï¿_N,la uniï¿_n
5,5411,5411000,ANTIOQUIA,LIBORINA,liborina
5,5425,5425000,ANTIOQUIA,MACEO,maceo
5,5440,5440000,ANTIOQUIA,MARINILLA,marinilla
5,5467,5467000,ANTIOQUIA,MONTEBELLO,montebello
5,5475,5475000,ANTIOQUIA,MURINDï¿_,murindï¿_
5,5480,5480000,ANTIOQUIA,MUTATï¿_,mutatï¿_
5,5483,5483000,ANTIOQUIA,NARIï¿_O,nariï¿_o
5,5490,5490000,ANTIOQUIA,NECOCLï¿_,necoclï¿_
5,5495,5495000,ANTIOQUIA,NECHï¿_,nechï¿_
5,5501,5501000,ANTIOQUIA,OLAYA,olaya
5,5541,5541000,ANTIOQUIA,PEï¿_OL,peï¿_ol
5,5543,5543000,ANTIOQUIA,PEQUE,peque
5,5576,5576000,ANTIOQUIA,PUEBLORRICO,pueblo rico
5,5579,5579000,ANTIOQUIA,PUERTO BERRï¿_O,puerto berrï¿_o
5,5585,5585000,ANTIOQUIA,PUERTO NARE,puerto nare
5,5591,5591000,ANTIOQUIA,PUERTO TRIUNFO,puerto triunfo
5,5604,5604000,ANTIOQUIA,REMEDIOS,remedios
5,5607,5607000,ANTIOQUIA,RETIRO,retiro
5,5615,5615000,ANTIOQUIA,RIONEGRO,rionegro
5,5628,5628000,ANTIOQUIA,SABANALARGA,sabanalarga
5,5631,5631000,ANTIOQUIA,SABANETA,sabaneta
5,5642,5642000,ANTIOQUIA,SALGAR,salgar
5,5647,5647000,ANTIOQUIA,SAN ANDRï¿_S DE CUERQUï¿_A,san andr_s de cuerquia
