year,municipality,codmpio,victimas
1981,Albania,,2
1981,Algeciras,,2
1981,Apartadó,,1
1981,Barrancabermeja,,2
1981,Berlin,,1
1981,Bogotá D.C.,,7
1981,Cachinay,,1
1981,Caldono ,,1
1981,Cali,,4
1981,Caucasia,,1
1981,Chigorodó,,1
1981,Cimitarra,,2
1981,Curillo,,2
1981,El Paujil,,1
1981,Florencia,,5
1981,Florián,,2
1981,Fortul,,1
1981,Icononzo,,1
1981,Jambaló,,1
1981,La Dorada,,1
1981,Medellín,,2
1981,Melgar,,2
1981,Mesetas,,1
1981,Mutatá,,4
1981,Neiva ,,1
1981,Otanche,,2
1981,Pitalito,,1
1981,Planadas,,1
1981,Puerto Asís,,1
1981,Puerto Berrío,,1
1981,Puerto Nare,,1
1981,Puerto Rico,,4
1981,Puerto Tejada,,1
1981,Puerto Triunfo,,1
1981,San Francisco,,1
1981,San José del Fragua ,,1
1981,San José del Guaviare,,3
1981,San Juan Bosco,,1
1981,San Juan de Arama,,2
1981,San Pedro de Urabá,,1
1981,San Vicente de Chucuri,,1
1981,San Vicente del Caguán,,2
1981,Santa Elena del Opón,,2
1981,Santander de Quilichao,,1
1981,Saravena,,1
1981,Suratá,,1
1981,Tierradentro,,1
1981,Turbo,,5
1981,Tutasá,,1
1981,Uribe,,1
1981,Valledupar,,1
1981,Vélez,,1
1981,Venecia,,1
1981,Yacopí,,3
1981,Yurayacó,,1
1982,Aguachica,,1
1982,Aguada,,1
1982,Algeciras,,1
1982,Argelia,,1
1982,Barrancabermeja,,3
1982,Belén de los Andaquíes,,1
1982,Bogotá D.C.,,15
1982,Bolívar,,2
1982,Cali,,13
1982,Campamento,,1
1982,Caracolí,,1
1982,Cartagena del Chairá,,1
1982,Cartago,,2
1982,Caucasia,,1
1982,Cereté,,1
1982,Cerromatoso,,1
1982,Chivolo,,1
1982,Chocontá,,1
1982,Cimitarra,,9
1982,Cúcuta,,1
1982,Curillo,,1
1982,El Doncello,,2
1982,El Paujil,,4
1982,Florencia,,5
1982,Florián ,,1
1982,Gamarra,,1
1982,Garzón,,1
1982,Guamo,,1
1982,Honda,,1
1982,Ibague,,1
1982,Icononzo,,1
1982,Itsmina,,1
1982,La Argentina,,1
1982,La Dorada,,1
1982,Landázuri,,1
1982,Líbano,,1
1982,Maicao,,1
1982,Manizales,,1
1982,Mariquita,,1
1982,Maticurí,,1
1982,Medellín,,14
1982,Melgar,,1
1982,Mocoa,,2
1982,Montería,,1
1982,Mutatá,,1
1982,Neiva,,2
1982,Pereira,,1
1982,Popayán,,2
1982,Puerto Asís,,1
1982,Puerto Berrío,,9
1982,Puerto Boyacá,,12
1982,Puerto Gaitán,,1
1982,Puerto Rico,,1
1982,Puerto Triunfo,,2
1982,Puerto Wilches,,1
1982,Sabana de Torres,,1
1982,Sabanagrande,,1
1982,Samaná,,1
1982,San Francisco,,3
1982,San Martín,,1
1982,San Vicente de Chucuri,,4
1982,San Vicente del Caguán,,1
1982,Santa Elena del Opón,,1
1982,Segovia,,1
1982,Simacota,,1
1982,Solita,,3
1982,Sonsón,,2
1982,Sucre,,2
1982,Tarazá,,2
1982,Toribío,,1
1982,Túquerres,,1
1982,Turbo,,2
1982,Valledupar,,1
1982,Ventaquemada,,1
1982,Yacopí,,7
1982,Yumbo,,2
1982,Zipaquirá,,1
1983,Aguachica,,1
1983,Apartadó,,1
1983,Armenia,,1
1983,Barbosa,,1
1983,Barrancabermeja,,7
1983,Bogotá D.C.,,4
1983,Bolívar,,1
1983,Bucaramanga,,3
1983,Buenaventura,,1
1983,Cali,,4
1983,Carcasi,,1
