Departamento,Municipo,CodigoDANE,NumeroSolicitudes,NumeroPredios,NumeroTitulares
Amazonas,El Encanto,91263,4,4,4
Amazonas,La Pedrera,91407,2,2,1
Amazonas,La Victoria,9143,3,3,3
Amazonas,Leticia,91001,1,1,1
Amazonas,Miriti - Paraná,9146,1,1,1
Amazonas,Puerto Alegría,9153,2,2,2
Amazonas,Puerto Santander,91669,7,4,5
Antioquia,Abejorral,5002,52,43,33
Antioquia,Abriaquí,5004,10,5,2
Antioquia,Alejandría,5021,32,30,17
Antioquia,Amagá,503,12,12,3
Antioquia,Amalfi,5031,111,104,81
Antioquia,Andes,5034,21,19,17
Antioquia,Angelópolis,5036,8,8,8
Antioquia,Angostura,5038,35,24,19
Antioquia,Anorí,504,104,96,69
Antioquia,Anza,5044,18,15,12
Antioquia,Apartadó,5045,616,556,417
Antioquia,Arboletes,5051,575,538,145
Antioquia,Argelia,5055,396,297,185
Antioquia,Armenia,5059,20,17,14
Antioquia,Barbosa,5079,40,36,19
Antioquia,Bello,5088,161,124,98
Antioquia,Belmira,5086,8,8,6
Antioquia,Betania,5091,49,49,26
Antioquia,Betulia,5093,72,60,40
Antioquia,Briceño,5107,85,70,36
Antioquia,Buriticá,5113,22,13,17
Antioquia,Cáceres,512,482,390,355
Antioquia,Caicedo,5125,13,11,8
Antioquia,Caldas,5129,15,12,10
Antioquia,Campamento,5134,32,31,14
Antioquia,Cañasgordas,5138,103,68,55
Antioquia,Caracolí,5142,2,2,2
Antioquia,Caramanta,5145,9,7,7
Antioquia,Carepa,5147,220,204,139
Antioquia,Carolina,515,1,1,1
Antioquia,Caucasia,5154,262,257,206
Antioquia,Chigorodó,5172,387,351,242
Antioquia,Cisneros,519,2,2,2
Antioquia,Ciudad Bolívar,5101,34,33,16
Antioquia,Cocorná,5197,262,217,162
Antioquia,Concepción,5206,12,12,10
Antioquia,Concordia,5209,14,14,12
Antioquia,Copacabana,5212,15,13,15
Antioquia,Dabeiba,5234,574,460,304
Antioquia,Don Matías,5237,6,6,4
Antioquia,Ebéjico,524,4,3,1
Antioquia,El Bagre,525,372,317,283
Antioquia,El Carmen De Viboral,5148,142,115,59
Antioquia,El Santuario,5697,6,6,5
Antioquia,Entrerrios,5264,12,12,4
Antioquia,Envigado,5266,3,3,3
Antioquia,Fredonia,5282,8,6,1
Antioquia,Frontino,5284,164,121,87
Antioquia,Giraldo,5306,18,17,16
Antioquia,Girardota,5308,42,35,17
Antioquia,Gómez Plata,531,6,6,3
Antioquia,Granada,5313,105,1037,572
Antioquia,Guadalupe,5315,6,6,4
Antioquia,Guarne,5318,36,24,17
Antioquia,Guatapé,5321,15,7,7
Antioquia,Heliconia,5347,64,45,33
Antioquia,Itaguí,536,31,29,22
Antioquia,Ituango,5361,251,223,145
Antioquia,Jardín,5364,2,2,2
Antioquia,Jericó,5368,5,5,4
Antioquia,La Ceja,5376,6,6,4
Antioquia,La Estrella,538,3,3,2
Antioquia,La Pintada,539,5,5,0
Antioquia,La Unión,54,41,20,21
Antioquia,Liborina,5411,1,1,1
Antioquia,Maceo,5425,81,72,60
Antioquia,Marinilla,544,5,5,5
Antioquia,Medellín,5001,813,717,601
Antioquia,Montebello,5467,414,351,198
Antioquia,Murindó,5475,6,6,5
Antioquia,Mutatá,548,730,701,416
Antioquia,Nariño,5483,181,144,107
Antioquia,Nechí,5495,356,335,266
Antioquia,Necoclí,549,566,496,316
Antioquia,Olaya,5501,2,2,1
Antioquia,Peñol,5541,16,15,10
Antioquia,Peque,5543,38,36,18
Antioquia,Pueblorrico,5576,11,11,8
